"x","y","z"
950.2,949.5,"AP"
950.7,950.1,"AP"
951.1,950.5,"AP"
951,950.5,"AP"
950.8,950.5,"AP"
950.2,949.9,"AP"
949.4,949.1,"AP"
948.6,948.3,"AP"
947.7,947.5,"AP"
947.3,947.2,"AP"
947.2,947.1,"AP"
947.3,947.2,"AP"
947.8,947.5,"AP"
948.4,948,"AP"
949.2,948.8,"AP"
950,949.5,"AP"
950.1,949.5,"AP"
950,949.5,"AP"
950.1,949.5,"AP"
949.8,949.3,"AP"
949.7,949.1,"AP"
949.9,949.3,"AP"
950.2,949.5,"AP"
950.5,949.8,"AP"
951,950.3,"AP"
951.6,951.1,"AP"
952,951.5,"AP"
952.1,951.7,"AP"
951.8,951.5,"AP"
951.3,951.1,"AP"
950.5,950.2,"AP"
949.8,949.6,"AP"
948.9,948.7,"AP"
948.4,948.4,"AP"
948.7,948.5,"AP"
949.2,948.9,"AP"
950,949.6,"AP"
951.1,950.7,"AP"
951.8,951.4,"AP"
952.4,951.9,"AP"
952.6,952.1,"AP"
953,952.5,"AP"
953.1,952.6,"AP"
952.9,952.3,"AP"
952.6,952.1,"AP"
952.6,952,"AP"
952.8,952.2,"AP"
953.1,952.5,"AP"
953.5,952.8,"AP"
954.1,953.6,"AP"
954.6,954.2,"AP"
954.5,954.2,"AP"
954.5,954.2,"AP"
954.1,953.8,"AP"
953.2,952.9,"AP"
952.4,952.2,"AP"
951.9,951.7,"AP"
951.7,951.6,"AP"
951.7,951.6,"AP"
952.5,952.1,"AP"
953.2,952.8,"AP"
954.1,953.7,"AP"
954.8,954.5,"AP"
955.1,954.8,"AP"
955.3,954.8,"AP"
955.1,954.8,"AP"
954.8,954.3,"AP"
954.4,953.9,"AP"
954.3,953.7,"AP"
954.1,953.6,"AP"
954,953.4,"AP"
954.5,953.9,"AP"
955.1,954.6,"AP"
955.7,955.3,"AP"
956.3,955.9,"AP"
956.3,956,"AP"
956.2,955.9,"AP"
955.8,955.6,"AP"
955.2,954.9,"AP"
954.6,954.4,"AP"
954.3,953.9,"AP"
954.1,953.7,"AP"
954.4,954.1,"AP"
955,954.6,"AP"
955.7,955.3,"AP"
956.3,955.8,"AP"
956.8,956.4,"AP"
957.3,956.9,"AP"
957.3,956.8,"AP"
956.8,956.4,"AP"
956.5,956,"AP"
955.8,955.3,"AP"
955.5,954.9,"AP"
955.5,954.8,"AP"
955.5,954.8,"AP"
955.9,955.3,"AP"
956.6,956,"AP"
957,956.5,"AP"
957.5,957.1,"AP"
957.6,957.3,"AP"
957.2,956.9,"AP"
956.3,956,"AP"
955.1,954.9,"AP"
954.2,953.9,"AP"
953.7,953.3,"AP"
953.1,952.8,"AP"
953.2,952.8,"AP"
953.8,953.4,"AP"
954.4,954,"AP"
955.1,954.5,"AP"
955.6,955.1,"AP"
955.9,955.4,"AP"
955.7,955.3,"AP"
955.4,954.9,"AP"
955.2,954.7,"AP"
954.7,954.3,"AP"
954.4,953.9,"AP"
954.3,953.7,"AP"
954.8,954.2,"AP"
955.4,954.8,"AP"
21.54,20.94,"AT"
21.91,21.28,"AT"
22.75,22.12,"AT"
24.03,23.33,"AT"
25.19,24.19,"AT"
26.72,25.91,"AT"
27.96,26.82,"AT"
25.81,25.2,"AT"
23.09,22.41,"AT"
23.46,22.81,"AT"
23.81,23.21,"AT"
23.5,22.88,"AT"
23.08,22.49,"AT"
22.89,22.28,"AT"
22.59,21.97,"AT"
22.3,21.64,"AT"
22.01,21.41,"AT"
21.89,21.25,"AT"
21.83,21.16,"AT"
21.98,21.32,"AT"
22.08,21.43,"AT"
22.15,21.49,"AT"
22.03,21.38,"AT"
21.83,21.17,"AT"
21.89,21.22,"AT"
21.96,21.29,"AT"
23.01,22.25,"AT"
24.54,23.87,"AT"
25.97,25.02,"AT"
27.02,25.93,"AT"
27.88,27.1,"AT"
27.39,26.63,"AT"
24.55,24.14,"AT"
26.26,25.37,"AT"
25.9,25.03,"AT"
24.62,24.07,"AT"
23.54,22.96,"AT"
23.45,22.83,"AT"
23.68,23.04,"AT"
23.5,22.89,"AT"
22.82,22.17,"AT"
22.88,22.21,"AT"
22.63,22.07,"AT"
22.38,21.87,"AT"
22.37,21.84,"AT"
22.03,21.45,"AT"
22.06,21.45,"AT"
22.28,21.64,"AT"
22.41,21.77,"AT"
22.85,22.23,"AT"
23.91,23.21,"AT"
25.05,24.33,"AT"
26.66,25.68,"AT"
27.96,26.93,"AT"
29.68,28.35,"AT"
29.32,28.56,"AT"
28.05,27.44,"AT"
25.93,25.31,"AT"
25.11,24.37,"AT"
24.93,24.26,"AT"
22.53,21.97,"AT"
20.97,20.28,"AT"
20.3,19.58,"AT"
20.8,20.06,"AT"
20.77,20.09,"AT"
20.78,20.13,"AT"
20.88,20.27,"AT"
20.83,20.2,"AT"
20.86,20.26,"AT"
21,20.38,"AT"
21.22,20.62,"AT"
21.3,20.65,"AT"
21.35,20.67,"AT"
21.76,21.07,"AT"
22.6,21.85,"AT"
22.87,22.1,"AT"
23.78,22.87,"AT"
25.74,24.68,"AT"
25.4,24.55,"AT"
26.2,25.34,"AT"
27.18,26.33,"AT"
27.86,27.1,"AT"
27.54,26.83,"AT"
26.98,26.18,"AT"
25.28,24.61,"AT"
24.25,23.59,"AT"
23.1,22.39,"AT"
22.83,22.13,"AT"
23.08,22.27,"AT"
23.15,22.27,"AT"
22.84,21.92,"AT"
22.22,21.39,"AT"
22.22,21.23,"AT"
22.33,21.38,"AT"
22.21,21.34,"AT"
21.79,20.98,"AT"
21.87,20.96,"AT"
26.48,23.46,"AT"
27.59,25.59,"AT"
28.25,26.72,"AT"
30.06,28.57,"AT"
31.74,30.14,"AT"
31.73,30.44,"AT"
30.73,29.58,"AT"
29.84,28.73,"AT"
30.65,29.52,"AT"
29.4,28.48,"AT"
26.83,26.12,"AT"
25.05,24.33,"AT"
23.88,23.04,"AT"
23.08,22.38,"AT"
22.69,22,"AT"
22.5,21.7,"AT"
22.11,21.36,"AT"
21.79,21.05,"AT"
21.27,20.58,"AT"
21.02,20.31,"AT"
20.71,19.92,"AT"
20.39,19.69,"AT"
20.1,19.44,"AT"
20.66,19.61,"AT"
22.98,21.21,"AT"
25.54,23.56,"AT"
27.67,25.94,"AT"
29.52,28.17,"AT"
31.52,29.96,"AT"
32.61,31.15,"AT"
32.81,31.77,"AT"
32.72,31.6,"AT"
32.02,30.78,"AT"
30.72,29.95,"AT"
29.33,28.53,"AT"
27.38,26.71,"AT"
26.02,25.28,"AT"
25.65,24.89,"AT"
24.79,24.07,"AT"
24.14,23.39,"AT"
24.01,23.22,"AT"
23.79,22.96,"AT"
23.55,22.74,"AT"
23.38,22.55,"AT"
22.98,22.13,"AT"
22.57,21.68,"AT"
22.38,21.5,"AT"
23.01,21.97,"AT"
24.24,23.19,"AT"
26.27,25.16,"AT"
27.54,26.39,"AT"
29.42,28.23,"AT"
31.37,30.26,"AT"
32.56,31.31,"AT"
33.82,32.58,"AT"
31.08,30.18,"AT"
26.05,25.32,"AT"
25.36,24.46,"AT"
24.54,23.73,"AT"
23.6,22.74,"AT"
23.12,22.25,"AT"
22.74,21.82,"AT"
22.68,21.76,"AT"
22.38,21.56,"AT"
22.36,21.44,"AT"
22.28,21.42,"AT"
21.81,20.99,"AT"
21.6,20.75,"AT"
21.43,20.52,"AT"
20.98,20.11,"AT"
21.04,20.17,"AT"
21.81,20.77,"AT"
22.82,21.67,"AT"
25.93,24.01,"AT"
28.74,26.58,"AT"
30.42,28.82,"AT"
32.37,30.97,"AT"
34.32,32.52,"AT"
34.02,32.73,"AT"
32.13,31.09,"AT"
33.9,32.63,"AT"
33.85,32.81,"AT"
29.87,29.09,"AT"
27.96,27.33,"AT"
26.8,26.16,"AT"
26.48,25.76,"AT"
25.68,24.93,"AT"
25.15,24.39,"AT"
24.88,24.1,"AT"
24.34,23.61,"AT"
23.99,23.28,"AT"
23.04,22.29,"AT"
22.61,21.83,"AT"
22.44,21.69,"AT"
22.18,21.42,"AT"
22.63,21.37,"AT"
26.71,23.57,"AT"
28.93,26.27,"AT"
29.99,28.06,"AT"
31.81,29.8,"AT"
33.1,31.41,"AT"
34.41,32.99,"AT"
35.78,34.17,"AT"
35.98,34.67,"AT"
35.98,34.82,"AT"
35.3,34.35,"AT"
31.75,30.98,"AT"
29.46,28.82,"AT"
28.63,27.91,"AT"
26.9,26.22,"AT"
25.27,24.58,"AT"
25.04,24.36,"AT"
24.47,23.68,"AT"
24.08,23.37,"AT"
23.74,23.02,"AT"
23.44,22.69,"AT"
23.35,22.52,"AT"
23.23,22.42,"AT"
23.1,22.31,"AT"
23.51,22.7,"AT"
24.34,23.37,"AT"
24.89,23.73,"AT"
27.1,25.45,"AT"
29.85,27.97,"AT"
30.81,29.04,"AT"
31.1,29.58,"AT"
31.28,29.87,"AT"
30.58,29.36,"AT"
29.21,28.13,"AT"
27.76,26.77,"AT"
26.64,25.74,"AT"
25.63,24.86,"AT"
25.21,24.44,"AT"
24.17,23.43,"AT"
22.3,21.47,"AT"
22.3,21.36,"AT"
22.3,21.46,"AT"
22.54,21.69,"AT"
22.22,21.43,"AT"
21.75,20.93,"AT"
21.27,20.4,"AT"
21.61,20.76,"AT"
21.68,20.74,"AT"
21.6,20.65,"AT"
21.79,20.79,"AT"
22.13,21.09,"AT"
23.85,22.74,"AT"
24.72,23.65,"AT"
25.33,24.22,"AT"
26.48,25.41,"AT"
27.79,26.56,"AT"
25.14,24.18,"AT"
24.62,23.69,"AT"
24.19,23.42,"AT"
24.08,23.35,"AT"
23.89,23.13,"AT"
23.69,22.93,"AT"
23.57,22.9,"AT"
22.8,22.15,"AT"
21.71,21,"AT"
21.66,20.86,"AT"
21.71,20.95,"AT"
21.82,20.9,"AT"
21.66,20.9,"AT"
21.63,20.76,"AT"
21.35,20.59,"AT"
21.58,20.75,"AT"
22,21.16,"AT"
22.87,21.98,"AT"
24.01,22.97,"AT"
25.75,24.4,"AT"
27.67,26.18,"AT"
29.49,27.97,"AT"
29.94,28.52,"AT"
30.15,28.82,"AT"
31.58,30.24,"AT"
31.62,30.72,"AT"
29.36,28.57,"AT"
28.62,27.81,"AT"
27.87,27.18,"AT"
25.83,25.24,"AT"
22.39,21.78,"AT"
22.45,21.71,"AT"
22.65,21.87,"AT"
22.24,21.44,"AT"
21.73,20.88,"AT"
21.4,20.51,"AT"
21.21,20.36,"AT"
21.13,20.24,"AT"
21.15,20.22,"AT"
21.03,20.06,"AT"
21.48,20.4,"AT"
23.82,22.19,"AT"
26.01,24.72,"AT"
27.39,26.01,"AT"
29.33,27.78,"AT"
31.53,29.87,"AT"
31.54,30.19,"AT"
33.26,31.65,"AT"
25.87,25.28,"AT"
26.13,25.36,"AT"
30.8,29.8,"AT"
29.51,28.74,"AT"
26.65,26.02,"AT"
25.75,25.05,"AT"
25.7,24.98,"AT"
25.16,24.41,"AT"
25.02,24.25,"AT"
24.16,23.41,"AT"
23.87,23.13,"AT"
24,23.2,"AT"
23.65,22.97,"AT"
23.44,22.82,"AT"
23.13,22.35,"AT"
23.21,22.37,"AT"
22.86,21.99,"AT"
23.78,22.93,"AT"
24.65,23.75,"AT"
26.25,25.21,"AT"
28.55,27.24,"AT"
30.63,29.05,"AT"
31.74,30.1,"AT"
32.43,31.18,"AT"
32.7,31.47,"AT"
32.5,31.25,"AT"
30.11,29.14,"AT"
28.07,27.26,"AT"
25.16,24.38,"AT"
23.44,22.67,"AT"
22.97,22.24,"AT"
23.06,22.3,"AT"
22.84,22.05,"AT"
23.02,22.24,"AT"
22.85,22.06,"AT"
23.23,22.39,"AT"
22.92,22.12,"AT"
22.54,21.76,"AT"
22.32,21.52,"AT"
22.15,21.36,"AT"
22.34,21.46,"AT"
23.4,22.43,"AT"
24.19,23.25,"AT"
25.74,24.55,"AT"
27.52,26.21,"AT"
29.88,28.1,"AT"
30.17,28.92,"AT"
31.17,30.06,"AT"
32.03,30.83,"AT"
28.68,27.73,"AT"
26.52,25.74,"AT"
26.34,25.62,"AT"
25.48,24.86,"AT"
24.63,24.01,"AT"
24.61,23.89,"AT"
24.53,23.76,"AT"
24.21,23.37,"AT"
23.66,22.86,"AT"
23.67,22.86,"AT"
23.51,22.73,"AT"
23.36,22.52,"AT"
23.04,22.25,"AT"
22.91,22.09,"AT"
22.94,22.06,"AT"
23.31,22.36,"AT"
24.15,23.14,"AT"
25.4,24.26,"AT"
26.41,25.28,"AT"
28.11,26.99,"AT"
29.6,28.53,"AT"
30.52,29.53,"AT"
30.89,30.01,"AT"
31.22,30.09,"AT"
26.87,26.13,"AT"
25.83,25.08,"AT"
25.18,24.46,"AT"
23.58,22.92,"AT"
23.64,22.97,"AT"
23.98,23.22,"AT"
23.98,23.19,"AT"
24.07,23.27,"AT"
24,23.16,"AT"
23.88,23.08,"AT"
23.55,22.74,"AT"
23.38,22.56,"AT"
23.19,22.34,"AT"
23.13,22.31,"AT"
23.1,22.27,"AT"
23.37,22.56,"AT"
24.23,23.47,"AT"
25.77,24.92,"AT"
26.99,26.12,"AT"
28.31,27.37,"AT"
29.66,28.65,"AT"
31.02,29.73,"AT"
31.41,30.07,"AT"
29.65,28.49,"AT"
30.4,29.26,"AT"
27.79,27,"AT"
23.54,22.97,"AT"
23.44,22.82,"AT"
23.51,22.74,"AT"
23.47,22.69,"AT"
23.49,22.77,"AT"
23.28,22.52,"AT"
23.13,22.34,"AT"
23.04,22.28,"AT"
23.04,22.23,"AT"
23.16,22.33,"AT"
23.03,22.16,"AT"
22.91,22.01,"AT"
23.06,22.16,"AT"
23.16,22.3,"AT"
23.76,22.86,"AT"
24.23,23.47,"AT"
25.73,24.76,"AT"
27.11,25.98,"AT"
30.12,28.47,"AT"
31.08,29.52,"AT"
32.47,31.15,"AT"
33.06,31.98,"AT"
33.15,32.29,"AT"
32.46,31.69,"AT"
31.31,30.49,"AT"
29.23,28.51,"AT"
27.9,27.16,"AT"
27.44,26.69,"AT"
26.6,25.77,"AT"
25.84,25.05,"AT"
25.19,24.46,"AT"
24.86,24.15,"AT"
24.17,23.49,"AT"
23.82,23.06,"AT"
23.51,22.73,"AT"
23.47,22.62,"AT"
23.21,22.44,"AT"
23.3,22.43,"AT"
25.74,23.8,"AT"
28.44,26.37,"AT"
29.93,28.23,"AT"
31.27,29.53,"AT"
32.57,31.09,"AT"
33.25,32.26,"AT"
33.14,32.26,"AT"
33.28,32.51,"AT"
33.52,32.79,"AT"
33.11,32.54,"AT"
31.12,30.51,"AT"
26.96,26.33,"AT"
25.15,24.55,"AT"
23.42,22.83,"AT"
23.34,22.76,"AT"
23.4,22.78,"AT"
23.32,22.7,"AT"
23.25,22.54,"AT"
